timestamp,total_bookings,time_to_departure_minutes,day_of_week,hour_of_day,origin,destination,airline_code,seats_remaining,base_price,current_price
2025-05-02 17:27:28,1,7431,4,1,ATL,ORD,NK,,104.01,105.01
2025-05-02 17:29:40,2,7429,4,1,ATL,ORD,NK,,104.01,106.01
2025-05-02 18:45:28,3,7353,4,1,ATL,ORD,NK,,104.01,107.01
2025-05-02 18:56:44,1,16563,3,11,ATL,IAH,UA,,601.53,602.53
2025-05-02 18:56:49,1,16563,3,11,ATL,IAH,UA,,601.53,602.53
2025-05-02 19:25:01,4,7313,4,1,ATL,ORD,NK,,104.01,108.01
2025-05-03 02:45:44,1,19804,6,0,LAX,JFK,F9,,174.94,175.94
2025-05-03 02:54:31,5,6864,4,1,ATL,ORD,NK,,104.01,109.01
2025-05-03 03:02:15,6,6856,4,1,ATL,ORD,NK,,104.01,110.01
2025-05-03 03:03:29,7,6855,4,1,ATL,ORD,NK,,104.01,111.01
